url,genres,moods
Eibc-J7u90A,Рок.Поп.Хип-хоп.Любой жанр,Романтичная.Танцевальная.Любое настроение
l4HnfXy9E9w,Хип-хоп.Любой жанр,Спокойная.Грустная.Драматичная.Любое настроение
gcP-kSS-nAA,Блюз.Electronic.Поп.Любой жанр,Динамичная.Танцевальная.Любое настроение
h3w9cKCA2qw,Любой жанр.Классическая.Хип-хоп,Любое настроение.Веселая.Танцевальная
DpM-bjWPS-c,Любой жанр.Рок.Хип-хоп,Любое настроение.Динамичная.Веселая.Романтичная
K5JAfBoZpw8,Любой жанр.Рок.Electronic,Любое настроение.Динамичная.Танцевальная.Романтичная.Страшная.Веселая
a67RXt20khI,Любой жанр.Хип-хоп,Любое настроение.Романтичная.Танцевальная.Грустная.Драматичная
FbNHB_71ovI,Любой жанр.Хип-хоп,Любое настроение.Грустная.Романтичная.Спокойная.Драматичная
r1ChQxUQLsw,Любой жанр.Классическая.Саундтрек,Любое настроение.Эпичная
dCH-3L-ZTc8,Любой жанр.Хип-хоп.Electronic,Любое настроение.Агрессивная.Танцевальная
kpeJLVhQMpA,Любой жанр.Хип-хоп.Поп,Любое настроение.Динамичная.Танцевальная.Романтичная
-6IrkAdLG20,Любой жанр.Хип-хоп.Electronic,Любое настроение.Танцевальная.Динамичная.Веселая.Романтичная
19ZRt9HaHSk,Любой жанр.Хип-хоп.Поп,Любое настроение.Романтичная.Танцевальная.Динамичная
Ii9hEBIH6f0,Любой жанр.Хип-хоп.Блюз.Electronic,Любое настроение.Эпичная.Веселая.Танцевальная
9YemMGgwILY,Любой жанр.Хип-хоп,Любое настроение.Зловещая
